Company Name;Ticker;Date;Close
Affirm Holdings Inc;AFRM;23.08.2021; $67,71 
Affirm Holdings Inc;AFRM;24.08.2021; $68,53 
Affirm Holdings Inc;AFRM;25.08.2021; $72,71 
Affirm Holdings Inc;AFRM;26.08.2021; $69,98 
Affirm Holdings Inc;AFRM;27.08.2021; $67,90 
Affirm Holdings Inc;AFRM;30.08.2021; $99,59 
Affirm Holdings Inc;AFRM;31.08.2021; $96,34 
Affirm Holdings Inc;AFRM;01.09.2021; $96,48 
Affirm Holdings Inc;AFRM;02.09.2021; $98,99 
Affirm Holdings Inc;AFRM;03.09.2021; $93,05 
Affirm Holdings Inc;AFRM;07.09.2021; $91,51 
Affirm Holdings Inc;AFRM;08.09.2021; $87,54 
Affirm Holdings Inc;AFRM;09.09.2021; $92,06 
Affirm Holdings Inc;AFRM;10.09.2021; $123,70 
Affirm Holdings Inc;AFRM;13.09.2021; $109,30 
Affirm Holdings Inc;AFRM;14.09.2021; $108,06 
Affirm Holdings Inc;AFRM;15.09.2021; $109,75 
Affirm Holdings Inc;AFRM;16.09.2021; $117,58 
Affirm Holdings Inc;AFRM;17.09.2021; $116,28 
Affirm Holdings Inc;AFRM;20.09.2021; $107,70 
Affirm Holdings Inc;AFRM;21.09.2021; $108,11 
Affirm Holdings Inc;AFRM;22.09.2021; $114,07 
Affirm Holdings Inc;AFRM;23.09.2021; $126,89 
Affirm Holdings Inc;AFRM;24.09.2021; $123,73 
